                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.88211,                 1.1134,                0.56318,                 1.1033,                0.96857,                0.98287,                0.97503,                0.67249,                0.91018,                0.91733,                0.90999,                0.58496,                 1.0373,                0.89736,                0.49679,                 1.1358,             0.00049612,             0.00049612,             0.00049612
                     79,                0.88037,                 1.2251,                 0.5627,                 1.1133,                0.97657,                  0.984,                0.97731,                0.68004,                 0.9101,                0.91593,                0.91049,                0.59962,                 1.0243,                 0.8785,                0.48298,                 1.1379,             0.00049535,             0.00049535,             0.00049535
                     80,                0.90552,                 1.1745,                0.57844,                 1.1061,                0.98051,                0.99136,                0.98532,                0.68181,                0.90731,                0.91254,                0.91058,                0.61908,                 1.0126,                0.86254,                0.48037,                  1.129,             0.00049458,             0.00049458,             0.00049458
                     81,                 0.8685,                 1.1484,                0.55122,                 1.0965,                0.97732,                0.99399,                0.98612,                0.68339,                0.90765,                0.91969,                0.91489,                0.60322,                 1.0413,                0.82193,                0.50123,                 1.1417,             0.00049379,             0.00049379,             0.00049379
                     82,                0.87726,                  1.122,                0.54953,                    1.1,                0.98078,                0.99445,                0.98739,                0.68033,                0.92025,                0.92799,                0.92537,                0.62016,                 1.0265,                0.75157,                0.48903,                 1.1351,               0.000493,               0.000493,               0.000493
                     83,                0.86689,                 1.1176,                0.55239,                 1.1001,                0.98335,                0.99809,                0.99014,                0.68294,                 0.9167,                0.92488,                0.92386,                0.60112,                 1.0185,                0.73904,                0.48818,                  1.121,              0.0004922,              0.0004922,              0.0004922
                     84,                0.83983,                 1.1482,                0.54327,                 1.0782,                0.98351,                 0.9961,                0.98733,                0.68397,                0.91428,                0.92214,                0.91658,                0.60077,                 1.0258,                0.76879,                0.47686,                 1.1132,             0.00049139,             0.00049139,             0.00049139
                     85,                0.86574,                 1.1411,                0.56751,                 1.0929,                0.97544,                0.99784,                0.98793,                0.66467,                0.91166,                0.92205,                 0.9161,                0.59918,                 1.1159,                0.78693,                0.50206,                  1.145,             0.00049057,             0.00049057,             0.00049057
                     86,                0.85438,                  1.153,                0.55296,                 1.0927,                0.97408,                0.99733,                0.98436,                0.66311,                0.91312,                 0.9252,                0.92122,                0.61452,                 1.1044,                0.78969,                0.48129,                 1.1527,             0.00048974,             0.00048974,             0.00048974
                     87,                0.84654,                 1.1349,                0.54262,                 1.0849,                0.97547,                0.99463,                0.98391,                0.68173,                0.91684,                  0.928,                0.92349,                0.61866,                 1.0681,                0.74404,                0.47632,                 1.1361,              0.0004889,              0.0004889,              0.0004889
                     88,                0.87285,                  1.142,                0.54411,                 1.1019,                0.98625,                0.99845,                0.98961,                0.67063,                 0.9226,                0.92918,                0.92457,                0.62509,                 1.0779,                0.75074,                0.48058,                 1.1335,             0.00048806,             0.00048806,             0.00048806
                     89,                0.86426,                 1.0994,                0.54043,                 1.0957,                 0.9811,                0.99664,                 0.9846,                0.66907,                0.90896,                0.91649,                   0.91,                0.60511,                 1.0771,                0.82753,                0.48066,                 1.1335,              0.0004872,              0.0004872,              0.0004872
                     90,                0.86104,                 1.1146,                0.54738,                 1.0961,                0.97479,                0.99105,                0.98424,                0.67628,                0.90981,                 0.9175,                0.91159,                0.60059,                 1.0504,                0.83104,                0.49382,                 1.1349,             0.00048634,             0.00048634,             0.00048634
                     91,                0.86264,                 1.1131,                0.53737,                 1.0943,                0.98193,                0.99642,                0.99069,                0.68023,                0.91216,                 0.9229,                0.91723,                0.62833,                 1.0717,                 0.7375,                0.49322,                  1.129,             0.00048547,             0.00048547,             0.00048547
                     92,                0.85075,                 1.0499,                0.53285,                 1.0892,                0.97055,                  0.993,                0.98364,                 0.6881,                0.89867,                0.91578,                0.90748,                0.60974,                 1.0232,                0.81723,                 0.4763,                 1.1203,             0.00048459,             0.00048459,             0.00048459
                     93,                0.85883,                 1.0581,                0.53881,                 1.0922,                 0.9763,                0.99597,                0.98793,                0.68745,                0.90751,                 0.9147,                0.90797,                0.62254,                 1.0428,                0.78357,                0.46804,                  1.124,              0.0004837,              0.0004837,              0.0004837
